
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        2
0.37957 0.40602 2.00000 
0.37342 0.37594 2.00000 
0.36566 0.34586 2.00000 
0.35596 0.31579 2.00000 
0.34376 0.28571 2.00000 
0.32809 0.25564 2.00000 
0.30718 0.22556 2.00000 
0.30303 0.22107 2.00000 
0.29328 0.19549 2.00000 
0.28045 0.16541 2.00000 
0.26502 0.13534 2.00000 
0.24314 0.10526 2.00000 
0.20144 0.07519 2.00000 
0.18182 0.06758 2.00000 
0.17473 0.04511 2.00000 
0.17011 0.01504 2.00000 
0.17011 -0.01504 2.00000 
0.17473 -0.04511 2.00000 
0.18182 -0.06758 2.00000 
0.20144 -0.07519 2.00000 
0.24314 -0.10526 2.00000 
0.26502 -0.13534 2.00000 
0.28045 -0.16541 2.00000 
0.29328 -0.19549 2.00000 
0.30303 -0.22107 2.00000 
0.30718 -0.22556 2.00000 
0.32809 -0.25564 2.00000 
0.34376 -0.28571 2.00000 
0.35596 -0.31579 2.00000 
0.36566 -0.34586 2.00000 
0.37342 -0.37594 2.00000 
0.37957 -0.40602 2.00000 
0.38426 -0.43609 2.00000 
0.38759 -0.46617 2.00000 
0.38956 -0.49624 2.00000 
0.39016 -0.52632 2.00000 
0.38933 -0.55639 2.00000 
0.38700 -0.58647 2.00000 
0.38307 -0.61654 2.00000 
0.37745 -0.64662 2.00000 
0.37003 -0.67669 2.00000 
0.36069 -0.70677 2.00000 
0.34930 -0.73684 2.00000 
0.33575 -0.76692 2.00000 
0.31989 -0.79699 2.00000 
0.30303 -0.82488 2.00000 
0.30131 -0.82707 2.00000 
0.27596 -0.85714 2.00000 
0.24666 -0.88722 2.00000 
0.21319 -0.91729 2.00000 
0.18182 -0.94258 2.00000 
0.17025 -0.94737 2.00000 
0.09383 -0.97744 2.00000 
0.06061 -0.98968 2.00000 
-0.06061 -0.98968 2.00000 

-0.06061 -0.98968 2.00000 
-0.09383 -0.97744 2.00000 
-0.17025 -0.94737 2.00000 
-0.18182 -0.94258 2.00000 
-0.21319 -0.91729 2.00000 
-0.24666 -0.88722 2.00000 
-0.27596 -0.85714 2.00000 
-0.30131 -0.82707 2.00000 
-0.30303 -0.82488 2.00000 
-0.31989 -0.79699 2.00000 
-0.33575 -0.76692 2.00000 
-0.34930 -0.73684 2.00000 
-0.36069 -0.70677 2.00000 
-0.37003 -0.67669 2.00000 
-0.37745 -0.64662 2.00000 
-0.38307 -0.61654 2.00000 
-0.38700 -0.58647 2.00000 
-0.38933 -0.55639 2.00000 
-0.39016 -0.52632 2.00000 
-0.38956 -0.49624 2.00000 
-0.38759 -0.46617 2.00000 
-0.38426 -0.43609 2.00000 
-0.37957 -0.40602 2.00000 
-0.37342 -0.37594 2.00000 
-0.36566 -0.34586 2.00000 
-0.35596 -0.31579 2.00000 
-0.34376 -0.28571 2.00000 
-0.32809 -0.25564 2.00000 
-0.30718 -0.22556 2.00000 
-0.30303 -0.22107 2.00000 
-0.29328 -0.19549 2.00000 
-0.28045 -0.16541 2.00000 
-0.26502 -0.13534 2.00000 
-0.24314 -0.10526 2.00000 
-0.20144 -0.07519 2.00000 
-0.18182 -0.06758 2.00000 
-0.17473 -0.04511 2.00000 
-0.17011 -0.01504 2.00000 
-0.17011 0.01504 2.00000 
-0.17473 0.04511 2.00000 
-0.18182 0.06758 2.00000 
-0.20144 0.07519 2.00000 
-0.24314 0.10526 2.00000 
