
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:      0.4
-0.06894 -0.44681 0.40000 
-0.07702 -0.45432 0.40000 
-0.08502 -0.46183 0.40000 
-0.09091 -0.46731 0.40000 
-0.09489 -0.46934 0.40000 
-0.10768 -0.47685 0.40000 
-0.11895 -0.48436 0.40000 
-0.12923 -0.49186 0.40000 
-0.13887 -0.49937 0.40000 
-0.14812 -0.50688 0.40000 
-0.15152 -0.50975 0.40000 
-0.15991 -0.51439 0.40000 
-0.17240 -0.52190 0.40000 
-0.18399 -0.52941 0.40000 
-0.19493 -0.53692 0.40000 
-0.20536 -0.54443 0.40000 
-0.21212 -0.54949 0.40000 
-0.21681 -0.55194 0.40000 
-0.23027 -0.55945 0.40000 
-0.24293 -0.56696 0.40000 
-0.25495 -0.57447 0.40000 
-0.26646 -0.58198 0.40000 
-0.27273 -0.58622 0.40000 
-0.27933 -0.58949 0.40000 
-0.29371 -0.59700 0.40000 
-0.30735 -0.60451 0.40000 
-0.32036 -0.61202 0.40000 
-0.33286 -0.61952 0.40000 
-0.33333 -0.61982 0.40000 
-0.34881 -0.62703 0.40000 
-0.36407 -0.63454 0.40000 
-0.37863 -0.64205 0.40000 
-0.39257 -0.64956 0.40000 
-0.39394 -0.65033 0.40000 
-0.40992 -0.65707 0.40000 
-0.42682 -0.66458 0.40000 
-0.44290 -0.67209 0.40000 
-0.45455 -0.67776 0.40000 
-0.45954 -0.67960 0.40000 
-0.47905 -0.68711 0.40000 
-0.49752 -0.69462 0.40000 
-0.51510 -0.70213 0.40000 
-0.53745 -0.70964 0.40000 
-0.55854 -0.71715 0.40000 
-0.57576 -0.72361 0.40000 
-0.57947 -0.72466 0.40000 
-0.60494 -0.73217 0.40000 
-0.62880 -0.73967 0.40000 
-0.63636 -0.74217 0.40000 
-0.65683 -0.74718 0.40000 
-0.68551 -0.75469 0.40000 
-0.69697 -0.75787 0.40000 
-0.71850 -0.76220 0.40000 
-0.75311 -0.76971 0.40000 
-0.75758 -0.77074 0.40000 
-0.79767 -0.77722 0.40000 
-0.81818 -0.78081 0.40000 
-0.85205 -0.78473 0.40000 
-0.87879 -0.78808 0.40000 
-0.93575 -0.79224 0.40000 
-0.93939 -0.79253 0.40000 
-1.00000 -0.79413 0.40000 
-1.06061 -0.79281 0.40000 

1.54873 -0.65707 0.40000 
1.54545 -0.65891 0.40000 
