pi(hPa)	uPa	omega(s-1)	uomega	phi	uphi	lambda(s-1) ulambda	pf(hPa)	upf
-1.269e-01	1.681e-02	5.281e+00	7.785e-03	1.961e+00	1.313e-01	2.010e-01	7.900e-03	9.989e+02	3.315e-02
1.326e-01	1.687e-02	5.283e+00	7.855e-03	2.892e+00	1.292e-01	2.029e-01	7.681e-03	9.990e+02	3.295e-02
1.378e-01	1.794e-02	5.278e+00	7.641e-03	2.878e+00	1.259e-01	2.033e-01	7.960e-03	9.991e+02	3.389e-02
1.348e-01	1.666e-02	5.273e+00	7.596e-03	7.104e+00	1.227e-01	2.098e-01	7.690e-03	9.991e+02	3.265e-02
1.558e-01	1.938e-02	5.273e+00	7.680e-03	1.526e+00	1.241e-01	1.956e-01	7.695e-03	9.990e+02	3.296e-02
1.202e-01	1.621e-02	5.271e+00	8.080e-03	1.595e+00	1.317e-01	2.108e-01	8.339e-03	9.990e+02	3.239e-02
-1.919e-01	2.064e-02	5.275e+00	7.032e-03	3.111e+00	1.112e-01	1.894e-01	6.720e-03	9.991e+02	3.227e-02
2.301e-01	2.109e-02	5.269e+00	5.651e-03	2.498e+00	9.132e-02	1.805e-01	5.689e-03	9.990e+02	2.982e-02
-2.844e-01	2.336e-02	5.275e+00	5.353e-03	2.118e+00	8.252e-02	1.758e-01	5.322e-03	9.990e+02	2.891e-02
1.876e-01	1.856e-02	5.280e+00	6.086e-03	-1.375e+01	1.015e-01	1.850e-01	5.889e-03	9.990e+02	3.022e-02
